,user_id,movie_id,y_true,y_pred_naive,y_pred_average,y_pred_euc_sim,y_pred_cosine_sim
0,308,1,4,3,3.8947368421052633,3.8886117822360546,3.9007363393347068
1,280,1,4,3,3.8947368421052633,3.888872932825518,3.9340737113607585
2,181,1,3,3,3.8947368421052633,3.8732635473828516,3.8815184808065912
3,145,1,3,3,3.8947368421052633,3.8869540053023077,3.910400525433952
4,67,1,3,3,3.8947368421052633,3.8710769269255363,3.9412901883741256
5,150,1,4,3,3.8947368421052633,3.8707210535576713,3.902992188872423
6,49,1,2,3,3.8947368421052633,3.8796596718980676,3.902871350051768
7,56,1,4,3,3.8947368421052633,3.889027743168914,3.943164701725009
8,177,1,3,3,3.8947368421052633,3.8775814120529035,3.8932242624337134
9,157,1,5,3,3.8947368421052633,3.8692211793931133,3.860378204861854
10,23,1,5,3,3.8947368421052633,3.882085836843022,3.9145919941838034
11,10,1,4,3,3.8947368421052633,3.88199380987361,3.882762209113518
12,320,1,3,3,3.8947368421052633,3.883061089945415,3.91898421719743
13,199,1,1,3,3.8947368421052633,3.8664308551920255,3.856212201972755
14,422,1,3,3,3.8947368421052633,3.8744225837503192,3.8876887537127063
15,26,1,3,3,3.8947368421052633,3.870279271621902,3.876010258431033
16,200,1,5,3,3.8947368421052633,3.8903336130970665,3.9314775777310933
17,256,1,5,3,3.8947368421052633,3.8863138994115665,3.912289761813806
18,174,1,3,3,3.8947368421052633,3.883595650375735,3.920739691330418
19,243,1,4,3,3.8947368421052633,3.872681975897302,3.8889471006266874
20,512,1,4,3,3.8947368421052633,3.8676732488208123,3.8951183955534243
21,417,1,4,3,3.8947368421052633,3.888967999620885,3.9142484059255604
22,579,1,4,3,3.8947368421052633,3.873650940557398,3.904321792771608
23,479,1,5,3,3.8947368421052633,3.8847146410891837,3.907260786640372
24,332,1,4,3,3.8947368421052633,3.885906541375792,3.9129952841163926
25,120,1,4,3,3.8947368421052633,3.8661811627396045,3.876251562976321
26,297,1,3,3,3.8947368421052633,3.883344753060454,3.905446471928725
27,533,1,4,3,3.8947368421052633,3.886702078227122,3.907928591691587
28,483,1,4,3,3.8947368421052633,3.869995741548871,3.9048585839722616
29,470,1,3,3,3.8947368421052633,3.8709490647566738,3.8918048220032873
30,657,1,3,3,3.8947368421052633,3.8653128682255438,3.8370017779751926
31,77,1,5,3,3.8947368421052633,3.8750701908547702,3.911433965512745
32,235,1,4,3,3.8947368421052633,3.876800331525428,3.8871078520487807
33,613,1,4,3,3.8947368421052633,3.867639404677452,3.8625580271727142
34,676,1,5,3,3.8947368421052633,3.8764316859240324,3.9157246992596697
35,614,1,5,3,3.8947368421052633,3.867882338046158,3.8852125930659893
36,798,1,4,3,3.8947368421052633,3.8871570946555405,3.9432824163970275
37,290,1,5,3,3.8947368421052633,3.8858793452049025,3.9522587943971286
38,655,1,2,3,3.8947368421052633,3.885752727079793,3.8767288885758324
39,807,1,4,3,3.8947368421052633,3.890698001178884,3.9443632458349365
40,503,1,5,3,3.8947368421052633,3.8824438005769277,3.8924630016827466
41,650,1,3,3,3.8947368421052633,3.887060231459613,3.9138550751141046
42,710,1,4,3,3.8947368421052633,3.876347698570811,3.9166151888339753
43,130,1,5,3,3.8947368421052633,3.8933071207099816,3.9267942544286427
44,597,1,3,3,3.8947368421052633,3.871689049645411,3.9185314255827794
45,756,1,4,3,3.8947368421052633,3.879316101361019,3.9453783311147737
46,897,1,5,3,3.8947368421052633,3.8878605904249444,3.9286204459998078
47,746,1,4,3,3.8947368421052633,3.877130042151179,3.9342568712039396
48,821,1,5,3,3.8947368421052633,3.877859142586059,3.925825480916477
49,388,1,5,3,3.8947368421052633,3.8741041316011446,3.891553857211513
50,883,1,3,3,3.8947368421052633,3.885203764360131,3.8882208317323066
51,216,1,4,3,3.8947368421052633,3.8810622082484683,3.905988915332243
52,336,1,3,3,3.8947368421052633,3.878412686330801,3.9253191241718497
53,893,1,5,3,3.8947368421052633,3.871581928171419,3.9013516354947146
54,913,1,2,3,3.8947368421052633,3.881229612184872,3.909002275587955
55,458,1,4,3,3.8947368421052633,3.880635470113243,3.882501149076646
56,733,1,2,3,3.8947368421052633,3.870339507509554,3.846262614620446
57,714,1,3,3,3.8947368421052633,3.8681627918706813,3.891746403562091
58,679,1,3,3,3.8947368421052633,3.8753911614740177,3.926725262083746
